,user_id,qid,topic,question,choice,opinions,demographic,user_answer,imp_model_answer,exp_model_answer,imexp_model_answer
0,71842,CANMTCHPOL_W92,Political views,I usually feel like,"['There is at least one candidate who shares most of my views', 'None of the candidates represent my views well', 'Refused']","['The decline of white people as a share of the U.S. population is neither good nor bad for society.', 'Society is just as well off if people have priorities other than marriage and children.', 'Banks and other financial institutions are having a negative effect on the way things are going in the country these days.', 'Republicans in this country are very comfortable to freely and openly express their political views.', ""I think America's military should be reduced somewhat in size."", 'You would prefer to live in a community where the houses are smaller and closer to each other, but schools, stores, and restaurants are within walking distance', 'The statement that comes closer to my own views is that religion should be kept separate from government policies.', 'The statement that comes closer to my own views is that most things in society are too complicated to be clearly divided between good and evil.', 'The fact that there are some people in this country who have personal fortunes of a billion dollars or more is neither a good thing nor a bad thing.', 'Sometimes laws to protect people from themselves are necessary.', 'Believing in God is not important for a person to be considered good and moral, regardless of their own religious beliefs.', 'Same-sex marriages being legal in the U.S. is generally very good for our society.', 'Preventing people who are not legally qualified to vote from casting a ballot is somewhat important in elections in the country.', 'It would not bother me at all to regularly hear people speak a language other than English in public places in my community.']","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'West'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$75,000-$100,000'}, {'Marital status': 'Never been married'}, {'Political ideology': 'Liberal'}, {'Political party': 'Independent'}, {'Race': 'White'}, {'Religion': 'Agnostic'}, {'Frequency of religious attendance': 'Seldom'}, {'Gender': 'Male'}]",There is at least one candidate who shares most of my views,None of the candidates represent my views well,There is at least one candidate who shares most of my views,There is at least one candidate who shares most of my views
1,8864,MESUM2_FD_W29,Views on gender,"How well, if at all, do the following words or phrases describe you? Supporter of the Black Lives Matter movement","['Describes me well', 'Does not describe me well', 'Refused']","['The person somewhat agrees that people in their neighborhood can be trusted.', 'The word ""intelligent"" somewhat describes me.', 'There is too little emphasis on encouraging girls to be leaders these days.', 'The respondent somewhat agrees that there are people they can count on in their neighborhood.', ""The increased outsourcing of jobs to other countries hasn't made much of a difference for my job or career."", 'The word ""assertive"" somewhat describes me.', 'The word ""environmentalist"" does not describe me well.', ""The increase in foreign-made products being sold in the U.S. hasn't had much of an impact on my job or career."", 'In the last 12 months, the respondent and their neighbors did favors for each other less than once a month.', 'The words or phrases ""supporter of rights for lesbian, gay, bisexual and transgender LGBT people"" do not describe me well.', 'There are plenty of good jobs available when thinking about job opportunities where you live.', 'Men do not face too much pressure to join in when other men are talking about women in a sexual way in our country these days.', 'It is somewhat important to me, personally, to be seen by others as manly or masculine.']","[{'Age': '50-64'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$75,000-$100,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Moderate'}, {'Political party': 'Democrat'}, {'Race': 'Black'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'More than once a week'}, {'Gender': 'Male'}]",Describes me well,Does not describe me well,Describes me well,Describes me well
2,837,GUNCOMMUNITY_W26,Guns,Do you feel that people in your local community tend to look at most gun owners in a positive way or a negative way?,"['Positive way', 'Negative way', 'Refused']","['I never visit websites about guns, hunting or other shooting sports.', ""People who want to kill or harm others are less likely to do it if they don't have a gun, even if neither view is exactly right."", 'The amount of gun violence in movies and television contributes a fair amount to gun violence in the country today.', 'I have not taken any gun safety courses such as weapons training, hunter safety or firearm safety.', 'I hardly ever used air guns, such as paintball, BB or pellet guns when I was growing up.', 'I never attend gun shows.', 'It is essential for gun owners without children in their home to keep their shooting skills up-to-date.', 'I worry a little about losing my job.']","[{'Age': '18-29'}, {'Citizenship': 'Yes'}, {'Region': 'Northeast'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$50,000-$75,000'}, {'Marital status': 'Living with a partner'}, {'Political ideology': 'Very liberal'}, {'Political party': 'Democrat'}, {'Race': 'White'}, {'Religion': 'Atheist'}, {'Frequency of religious attendance': 'A few times a year'}, {'Gender': 'Female'}]",Negative way,Refused,Negative way,Negative way
3,26926,SOLVPROBc_W41,America in 2050,"In the future, what kind of an impact do you think religious groups will have in solving the biggest problems facing the country?","['A very positive impact', 'A somewhat positive impact', 'A somewhat negative impact', 'A very negative impact', 'Refused']","['Some reductions in benefits for future retirees will need to be made when thinking about the long-term future of Social Security.', 'I am very optimistic about the future of the United States in 2050, about 30 years from now.', 'Major corporations will have a somewhat positive impact in solving the biggest problems facing the country in the future.', 'Most Americans will work into their 70s to have enough resources to retire, and it will probably happen in the next 30 years.', 'Reducing spending for roads, bridges, and other infrastructure is a top priority for improving the quality of life for future generations, according to the respondent.', 'I definitely do not think that the type of work I do will be done by robots or computers within the next 30 years.', 'The person has personally received unwanted sexual advances or verbal or physical harassment of a sexual nature in their own experiences, regardless of whether it was work-related or', 'Reducing the national debt would be a top priority if deciding what the federal government should do to improve the quality of life for future generations.', 'The automation of jobs through new technology in the workplace has mostly helped American workers.', 'The answer is that providing high-quality, affordable health care to all Americans would be given a lower priority when deciding what the federal government should do to improve', 'I expect that by 2050, people will be less likely to get married than they are now.', 'Population growth in the U.S. will be a major problem in 2050.', 'Colleges and universities will have a very positive impact in solving the biggest problems facing the country in the future.', 'The share of Americans who are upper class will stay about the same over the next 30 years.', ""The increased focus on sexual harassment and assault hasn't made much difference in how men interact with women.""]","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': ""Associate's degree""}, {'Income': 'Less than $30,000'}, {'Marital status': 'Never been married'}, {'Political ideology': 'Moderate'}, {'Political party': 'Democrat'}, {'Race': 'Black'}, {'Religion': 'Nothing in particular'}, {'Frequency of religious attendance': 'Seldom'}, {'Gender': 'Female'}]",A somewhat positive impact,Refused,A somewhat positive impact,A somewhat positive impact
4,23091,WHYNOTBIZF2L_W36,Gender & Leadership,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women don't have access to the same kinds of personal networks and connections that men have","['Major reason', 'Minor reason', 'Not a reason', 'Refused']","[""Being ambitious mostly hurts a woman's chances of getting a top executive business position."", 'Men would do a better job running a large oil or gas company types of companies.', 'It is essential for someone in a top executive business position to provide fair pay and good benefits.', 'It is essential for someone in a top executive business position to be honest and ethical.', 'The speaker believes that it would be somewhat bad for the country if a woman was elected president.', 'It is essential for someone in a top executive business position to work well under pressure.', 'There is no difference in the ability of men and women in top executive business positions to stand up for what they believe in, despite pressure to make a', 'In general, when it comes to their approach to leadership, men and women in top positions in business and politics are basically similar.', 'It is generally easier for men to get top executive positions in business these days.', 'I am very happy with how things are in my life these days.', ""Many businesses are not ready to hire women for top executive positions, which is a major reason why there aren't more women in these positions."", 'I think more women running for U.S. Congress this year than in the past is a bad thing.']","[{'Age': '65+'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$50,000-$75,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Conservative'}, {'Political party': 'Republican'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'More than once a week'}, {'Gender': 'Male'}]",Minor reason,Major reason,Minor reason,Major reason
5,22195,WHYNOTPOLF1I_W36,Gender & Leadership,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Not as many women are interested in holding higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']","['The higher education system, including colleges and universities, in the United States today is headed in the right direction.', 'It is important, but not essential, for someone in high political office to be persuasive.', 'It would be very good for the country if a woman was elected president.', 'I or anyone I know personally have not used fertility treatments to try to have a baby.', 'There is no difference in the ability of men and women in high political offices to stand up for what they believe in, despite political pressure.', 'It is essential for someone in high political office to be honest and ethical.', ""Being decisive mostly helps a man's chances of getting elected to high political office."", 'The statement ""Women aren\'t tough enough for politics"" is not a reason for there being fewer women than men in high political offices.']","[{'Age': '50-64'}, {'Citizenship': 'Yes'}, {'Region': 'Northeast'}, {'Education': 'Postgraduate'}, {'Income': '$50,000-$75,000'}, {'Marital status': 'Widowed'}, {'Political ideology': 'Liberal'}, {'Political party': 'Democrat'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'A few times a year'}, {'Gender': 'Female'}]",Minor reason,Not a reason,Minor reason,Not a reason
6,9665,FAVORS_CPS_W29,Views on gender,"In the last 12 months, how often did you and your neighbors do favors for each other?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']","['Men and women are basically different when it comes to the things they are good at in the workplace.', 'I would not say that society sees men in a particular way these days.', 'Men in our country do not face any pressure to have many sexual partners.', 'I am very worried right now about not having enough money for retirement.', 'Men do not face any pressure in our country these days to be willing to throw a punch if provoked.', 'Men and women are basically different when it comes to their physical abilities.', 'The person somewhat disagrees with the statement that people in their neighborhood can be trusted.', 'I ate dinner with members of my household basically every day in the last 12 months.', 'The word ""physically strong"" somewhat describes me.']","[{'Age': '50-64'}, {'Citizenship': 'Yes'}, {'Region': 'Midwest'}, {'Education': 'Some college, no degree'}, {'Income': '$50,000-$75,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Moderate'}, {'Political party': 'Democrat'}, {'Race': 'Black'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'Once or twice a month'}, {'Gender': 'Male'}]",A few times a week,Not at all,A few times a week,A few times a week
7,8717,PARTICIPATEA_W29,Views on gender,"Have you participated in any of these groups during the last 12 months, that is since September 2016? A school group, neighborhood, or community association such as PTA or neighborhood watch group","['Yes', 'No', 'Refused']","['In the last 12 months, my neighbors and I did favors for each other a few times a week.', 'I would not say that society sees men in a particular way these days.', 'Men in our country face some pressure to have many sexual partners.', 'I am not too worried right now about not having enough money for retirement.', 'Men in our country face a lot of pressure to be willing to throw a punch if provoked.', 'Men and women are basically different when it comes to their approach to parenting.', 'I definitely agree that people in this neighborhood can be trusted.', 'I ate dinner with members of my household basically every day in the last 12 months.', 'The word ""physically strong"" somewhat describes me.']","[{'Age': '65+'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'College graduate/some postgrad'}, {'Income': 'Less than $30,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Conservative'}, {'Political party': 'Republican'}, {'Race': 'White'}, {'Religion': 'Protestant'}, {'Frequency of religious attendance': 'More than once a week'}, {'Gender': 'Male'}]",Yes,No,Yes,Yes
8,62456,ECON5_k_W54,Economic inequality,Do you think the country's current economic conditions are helping or hurting people with college degrees?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']","['The federal government should have a lot of responsibility in reducing economic inequality in our country.', 'Wealthy individuals should have a lot of responsibility in reducing economic inequality in our country.', ""The answer given is that poor people have hard lives because government benefits don't go far enough to help them live decently."", 'I have personal investments in stocks, bonds or mutual funds other than those held in an IRA or 401K.', ""The country's current economic conditions are helping people who are white a lot."", 'I or anyone in my household have not received medicaid benefits or government services and benefits in the past 12 months.', 'It is the belief that adequate income in retirement is a responsibility of the federal government to provide for all Americans.', ""The country's tax system is contributing a fair amount to my opinion about how the economy is doing."", 'I or anyone in my household have not received unemployment benefits or government services and benefits in the past 12 months.', ""The stock market affects my household's financial situation to a fair amount."", 'Most people are not guaranteed success through hard work and determination.', 'Reducing illegal immigration would not do too much to reduce economic inequality in the U.S.', 'Wages and incomes are contributing a great deal to my opinion about how the economy is doing.', 'State governments should have a lot of responsibility in reducing economic inequality in our country.', ""The family's financial situation greatly impacts the ability of children to succeed in life in the area where you live."", 'I expect that economic conditions in the country as a whole will be worse a year from now.']","[{'Age': '30-49'}, {'Citizenship': 'Yes'}, {'Region': 'West'}, {'Education': 'College graduate/some postgrad'}, {'Income': '$100,000 or more'}, {'Marital status': 'Living with a partner'}, {'Political ideology': 'Liberal'}, {'Political party': 'Democrat'}, {'Race': 'White'}, {'Religion': 'Nothing in particular'}, {'Frequency of religious attendance': 'Never'}, {'Gender': 'Male'}]",Helping a lot,Neither helping nor hurting,Helping a lot,Helping a lot
9,5251,CAREREL_W27,Automation and driverless vehicles,"How likely is it that, at some point in your life, you will be responsible for caring for an aging parent or family member?","['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'I am already doing this', 'Refused']","['The idea of robots and computers being able to do most of the jobs currently done by humans in the future seems somewhat realistic based on what I know.', 'The job of a construction worker is somewhat likely to be mostly replaced by robots or computers in my lifetime.', 'Personally, I would want to ride in a driverless vehicle if I had the opportunity.', 'Some of the time, digital assistants accurately respond to commands.', 'It is likely that if robot caregivers such as these were developed, they would only be used by people who could not afford a human caregiver for their loved', 'It will take 10 to less than 50 years for most of the vehicles on the road to be driverless, rather than driven by humans.', 'You have seen or heard a lot about the effort to develop driverless vehicles - that is, cars and trucks that can operate on their own without a', 'I do not use a digital assistant to control other devices in my home, such as a stereo, tv, thermostat, or lighting.', 'It is likely that inequality between rich and poor would be much worse than it is today as a result of robots and computers being able to do most of', 'I am somewhat enthusiastic about the development of driverless vehicles.', 'The major reason I use a voice-controlled digital assistant is that spoken language feels more natural than typing.', 'It is likely that many people who drive for a living would lose their jobs if driverless vehicles become widespread.', 'It is not at all likely that the job of a nurse will be mostly replaced by robots or computers in my lifetime.']","[{'Age': '65+'}, {'Citizenship': 'Yes'}, {'Region': 'South'}, {'Education': 'Some college, no degree'}, {'Income': '$75,000-$100,000'}, {'Marital status': 'Married'}, {'Political ideology': 'Moderate'}, {'Political party': 'Independent'}, {'Race': 'White'}, {'Religion': 'Roman Catholic'}, {'Frequency of religious attendance': 'Once a week'}, {'Gender': 'Male'}]",Very likely,Somewhat likely,Very likely,Somewhat likely
